club,Xaccount,date,post,,,,,
,,2020/6/2,2020/6/4,2020/6/5,2020/6/7,2020/6/8,2020/6/10,2020/6/18
Aston Villa,@AVFCOfficial,1,1,1,1,1,1,4
,,2020/6/2,2020/6/13,2020/6/17,2020/6/20,2020/6/24,,
Tottenham Hotspur,@SpursOfficial,1,1,2,1,1,,
,,2020/6/1,2020/6/2,2020/6/3,2020/6/19,2020/6/20,2020/6/22,
Liverpool,@LFC,1,1,1,1,1,3,
,,,2020/6/2,2020/6/13,2020/6/20,2020/6/28,,
Norwich City,@NorwichCityFC,,1,1,1,1,,
,,,,,2020/6/20,2020/6/25,2020/6/26,
Watford,@WatfordFC,,,,2,1,1,
,,2020/6/2,,,2020/6/21,,,
WestHam,@WestHam,1,,,1,,,
,,2020/6/2,,,2020/6/19,2020/6/24,2020/6/25,
Crystal Palace,@CPFC,1,,,1,1,1,
,,2020/6/2,2020/6/19,2020/6/21,2020/6/22,2020/6/25,2020/7/15,
Everton,@Everton,2,1,2,2,1,1,
,,2020/6/20,,,,,,
Southampton,@SouthamptonFC,1,,,,,,
,,2020/6/17,2020/6/20,2020/6/24,,,,
Brighton,@OfficialBHAFC,1,1,1,,,,
,,2020/6/21,,,,,,
Newcastle Utd,@NUFC,1,,,,,,
,,2020/6/2,,,,,,
Wolves,@Wolves,1,,,,,,
,,,,,,,,
Brentford,@BrentfordFC,2020/6/20,2020/6/27,2020/9/27,,,,
,,1,1,1,,,,
,,2020/6/2,2020/6/3,2020/6/12,2020/6/18,2020/6/20,2020/6/21,2020/6/27
Bournemouth,@afcbournemouth,1,1,1,1,1,1,1
,,2020/6/18,,,,,,
Burnley,@BurnleyOfficial,1,,,,,,
,,2020/6/2,2020/6/21,,,,,
Sheffield Utd,@SheffieldUnited,1,1,,,,,
,,,,,,,,
,,,,,,,,
,,2020/6/2,2020/6/21,2020/6/26,2020/6/28,,,
Chelse,@ChelseaFC,1,2,1,1,,,
,,2020/6/11,2020/6/18,2020/7/10,2020/10/13,,,
Arsenal,@Arsenal,1,1,1,1,,,
,,,,,,,,
Manchester Utd,@ManUtd,0,,,,,,
Leicester City,@LCFC,0,,,,,,
Manchester City,@ManCity,0,,,,,,
