club,Xaccount,date,post
Aston Villa,@AVFCOfficial,2020/6/2,1
Aston Villa,@AVFCOfficial,2020/6/4,1
Aston Villa,@AVFCOfficial,2020/6/5,1
Aston Villa,@AVFCOfficial,2020/6/7,1
Aston Villa,@AVFCOfficial,2020/6/10,1
Aston Villa,@AVFCOfficial,2020/6/18,4
Tottenham Hotspur,@SpursOfficial,2020/6/2,1
Tottenham Hotspur,@SpursOfficial,2020/6/13,1
Tottenham Hotspur,@SpursOfficial,2020/6/17,2
Tottenham Hotspur,@SpursOfficial,2020/6/24,1
Tottenham Hotspur,@SpursOfficial,2020/6/20,1
Liverpool,@LFC,2020/6/1,1
Liverpool,@LFC,2020/6/2,1
Liverpool,@LFC,2020/6/3,1
Liverpool,@LFC,2020/6/19,1
Liverpool,@LFC,2020/6/20,1
Liverpool,@LFC,2020/6/22,3
Norwich,@NorwichCityFC,2020/6/2,1
Norwich,@NorwichCityFC,2020/6/13,1
Norwich,@NorwichCityFC,2020/6/20,1
Norwich,@NorwichCityFC,2020/6/28,1
Watford,@WatfordFC,2020/6/20,2
Watford,@WatfordFC,2020/6/25,1
Watford,@WatfordFC,2020/6/26,1
WestHam,@WestHam,2020/6/2,1
WestHam,@WestHam,2020/6/21,1
Crystal Palace,CPFC,2020/6/2,1
Crystal Palace,CPFC,2020/6/19,1
Crystal Palace,CPFC,2020/6/24,1
Crystal Palace,CPFC,2020/6/25,1
Everton,@Everton,2020/6/2,2
Everton,@Everton,2020/6/19,1
Everton,@Everton,2020/6/21,2
Everton,@Everton,2020/6/22,2
Everton,@Everton,2020/6/25,1
Everton,@Everton,2020/7/15,1
Southampton,@SouthamptonFC,2020/6/20,1
Brighton,@OfficialBHAFC,2020/6/17,1
Brighton,@OfficialBHAFC,2020/6/20,1
Brighton,@OfficialBHAFC,2020/6/24,1
Newcastle,@OfficialBHAFC,2020/6/21,1
Wolves,@Wolves,2020/6/2,1
Brentford,@Brentford,2020/6/20,1
Brentford,@Brentford,2020/6/27,1
Brentford,@Brentford,2020/9/27,1
Bournemouth,@afcbournemouth,2020/6/2,1
Bournemouth,@afcbournemouth,2020/6/3,1
Bournemouth,@afcbournemouth,2020/6/12,1
Bournemouth,@afcbournemouth,2020/6/18,1
Bournemouth,@afcbournemouth,2020/6/20,1
Bournemouth,@afcbournemouth,2020/6/21,1
Bournemouth,@afcbournemouth,2020/6/27,1
Burnley,@BurnleyOfficial,2020/6/18,1
Sheffield,@SheffieldUnited,2020/6/2,1
Sheffield,@SheffieldUnited,2020/6/21,1
Chelse,@ChelseaFC,2020/6/2,1
Chelse,@ChelseaFC,2020/6/21,2
Chelse,@ChelseaFC,2020/6/26,1
Chelse,@ChelseaFC,2020/6/28,1
Arsenal,@Arsenal,2020/6/11,1
Arsenal,@Arsenal,2020/6/18,1
Arsenal,@Arsenal,2020/7/10,1
Arsenal,@Arsenal,2020/10/14,1
Manchester Utd,@ManUtd,2020/6/19,2
Manchester Utd,@ManUtd,2020/6/20,1
Leicester City,@LCFC,,0
Manchester City,@ManCity,,0
